"Stage","Lead Source","ISI Sales Territory","Channel Partner","UC Platform(s)","Industry","Close Date","Close Month","Fiscal Period","Fiscal Year","Age","Amount"
"Closed Lost","Channel Inbound","North Central","CDW Logistics, Inc.","Cisco","Food & Beverage","6/3/2020","6/1/2020","Q2-2020","2020","125.0000000000","125813.50"
"Closed Lost","Channel Inbound","","ConvergeOne, Inc.","Cisco","","3/16/2020","3/1/2020","Q1-2020","2020","151.0000000000","4468.00"
"Closed Won","Website","Northeast","Presidio Networked Solutions Group, LLC","Cisco; Microsoft Teams","Retail","7/28/2021","7/1/2021","Q3-2021","2021","527.0000000000","23158.08"
"Closed Won","Channel Inbound","Northeast","Katalyst Network Group, LLC","Cisco","Finance","11/30/2019","11/1/2019","Q4-2019","2019","31.0000000000","6349.00"
"Closed Lost","Channel Inbound","","United Data Technologies, Inc.","Cisco","","12/21/2020","12/1/2020","Q4-2020","2020","301.0000000000","7404.00"
"Closed Won","Customer Support","North Central","CDW Logistics, Inc.","Cisco","Finance","3/31/2023","3/1/2023","Q1-2023","2023","199.0000000000","2160.00"
"Closed Lost","Channel Inbound","Gulf","ConvergeOne, Inc.","Cisco; Cisco UCCX","Healthcare","9/1/2022","9/1/2022","Q3-2022","2022","188.0000000000","3638.40"
"Closed Lost","Customer Support","Southeast","","Cisco","Education","10/24/2022","10/1/2022","Q4-2022","2022","133.0000000000","3339.00"
"Closed Won","Channel Inbound","Northeast","AT&T Services, Inc.","Cisco; NEC; Nortel; Siemens","Healthcare","9/29/2021","9/1/2021","Q3-2021","2021","133.0000000000","143784.00"
"Closed Won","Customer Support","Midwest","","Cisco","Education","7/27/2022","7/1/2022","Q3-2022","2022","16.0000000000","3820.00"
"Closed Lost","Channel Inbound","","Anexinet","Cisco","","12/10/2020","12/1/2020","Q4-2020","2020","286.0000000000","13130.00"
"Closed Won","Channel Inbound","North Central","Sirius Computer Solutions, Inc. - a CDW Company","Cisco","Insurance","8/31/2020","8/1/2020","Q3-2020","2020","31.0000000000","2238.00"
"Closed Lost","Website","Northeast","","Cisco","Technology","1/22/2020","1/1/2020","Q1-2020","2020","16.0000000000","36696.00"
"Closed Won","Channel Inbound","North Central","Sentinel Technologies, Inc.","Cisco","Healthcare","10/6/2020","10/1/2020","Q4-2020","2020","35.0000000000","3013.20"
"Closed Lost","Customer Support","Southeast","Cisco Systems, Inc.","Cisco","Retail","10/6/2022","10/1/2022","Q4-2022","2022","225.0000000000","11209.86"
"Closed Lost","Channel Inbound","","DataVox, Inc.","Cisco","","4/21/2020","4/1/2020","Q2-2020","2020","125.0000000000","42369.05"
"Closed Lost","Channel Inbound","West","ConvergeOne, Inc.","Cisco","Finance","3/12/2020","3/1/2020","Q1-2020","2020","84.0000000000","6552.00"
"Closed Lost","Customer Support","Midwest","","Cisco","Education","5/11/2022","5/1/2022","Q2-2022","2022","76.0000000000","2126.46"
"Closed Lost","Channel Inbound","Southeast","Flagler Technologies","Cisco","Healthcare","7/24/2020","7/1/2020","Q3-2020","2020","199.0000000000","20660.00"
"Closed Lost","Channel Inbound","","CDW Logistics, Inc.","Cisco","","9/20/2019","9/1/2019","Q3-2019","2019","79.0000000000","6415.00"
"Closed Lost","Channel Inbound","Northeast","Carousel Industries of North America, Inc.","Cisco","Government","12/2/2021","12/1/2021","Q4-2021","2021","524.0000000000","1982.00"
"Closed Lost","Website","","Sirius Computer Solutions, Inc. - a CDW Company","Cisco","","6/3/2020","6/1/2020","Q2-2020","2020","211.0000000000","55800.00"
"Closed Lost","Channel Inbound","West","SHI International Corporation","Cisco","Finance","12/2/2019","12/1/2019","Q4-2019","2019","49.0000000000","126309.45"
"Closed Lost","Website","","Presidio Networked Solutions Group, LLC","Cisco","","7/9/2020","7/1/2020","Q3-2020","2020","283.0000000000","49995.00"
"Closed Lost","Channel Inbound","West","Presidio Networked Solutions Group, LLC","Cisco","Healthcare","8/31/2022","8/1/2022","Q3-2022","2022","247.0000000000","15768.00"
"Closed Won","Customer Support","West","Development Group, Inc.","Cisco","Government","7/15/2022","7/1/2022","Q3-2022","2022","123.0000000000","732.00"
"Closed Lost","Channel Inbound","Southeast","Presidio Networked Solutions Group, LLC","Cisco","Government","7/2/2020","7/1/2020","Q3-2020","2020","170.0000000000","7068.00"
"Closed Lost","Customer Support","Gulf","SHI International Corporation","Cisco","Transportation","3/30/2022","3/1/2022","Q1-2022","2022","26.0000000000","4402.92"
"Closed Lost","Channel Inbound","North Central","CompuNet Inc.","Cisco","Government","6/9/2020","6/1/2020","Q2-2020","2020","144.0000000000","3296.11"
"Closed Lost","Channel Inbound","","Anexinet","Cisco","","6/28/2022","6/1/2022","Q2-2022","2022","922.0000000000","35568.00"
"Closed Lost","Customer Support","Northeast","Presidio Networked Solutions Group, LLC","Cisco","Healthcare","5/20/2022","5/1/2022","Q2-2022","2022","78.0000000000","3522.00"
"Closed Won","Customer Support","Gulf","Presidio Networked Solutions Group, LLC","Cisco","Education","8/12/2022","8/1/2022","Q3-2022","2022","128.0000000000","2996.00"
"Closed Lost","Customer Support","Southeast","Presidio Networked Solutions Group, LLC","Cisco","Insurance","5/10/2022","5/1/2022","Q2-2022","2022","76.0000000000","875.10"
"Closed Lost","Channel Inbound","Gulf","Netsync Network Solutions, Inc.","Cisco","Healthcare","3/31/2023","3/1/2023","Q1-2023","2023","403.0000000000","15204.00"
"Closed Lost","Customer Support","Southeast","Presidio Networked Solutions Group, LLC","Cisco","Retail","3/30/2022","3/1/2022","Q1-2022","2022","14.0000000000","6861.94"
"Closed Lost","Customer Support","West","CompuNet Inc.","Cisco; Cisco UCCX","Healthcare","2/27/2023","2/1/2023","Q1-2023","2023","369.0000000000","27405.00"
"Closed Won","Channel Inbound","West","NTT America, Inc.","Cisco","Healthcare","11/14/2019","11/1/2019","Q4-2019","2019","59.0000000000","1667.00"
"Closed Lost","Channel Inbound","Midwest","CDW Logistics, Inc.","Cisco","Finance","12/26/2019","12/1/2019","Q4-2019","2019","9.0000000000","266310.50"
"Closed Won","Channel Inbound","Southeast","ePlus Technology, Inc.","Cisco","Utilities","1/7/2021","1/1/2021","Q1-2021","2021","462.0000000000","2520.00"
"Closed Lost","Customer Support","Midwest","","Microsoft Teams","Shipping","12/1/2022","12/1/2022","Q4-2022","2022","70.0000000000","3600.00"
"Closed Lost","Website","Southeast","LaSalle Solutions","Cisco","Retail","3/9/2022","3/1/2022","Q1-2022","2022","128.0000000000","23040.00"
"Closed Lost","Customer Support","Northeast","","Cisco","Education","9/2/2022","9/1/2022","Q3-2022","2022","73.0000000000","5968.00"
"Closed Lost","Customer Support","Northeast","","NEC","Healthcare","8/23/2022","8/1/2022","Q3-2022","2022","98.0000000000","23400.00"
"Closed Lost","Channel Inbound","Gulf","Presidio Networked Solutions Group, LLC","Cisco","Government","4/9/2020","4/1/2020","Q2-2020","2020","357.0000000000","29256.00"
"Closed Won","Customer Support","Northeast","","Microsoft Teams","Finance","8/5/2022","8/1/2022","Q3-2022","2022","9.0000000000","1625.00"
"Closed Lost","Website","West","NWN Corporation","Cisco","Healthcare","4/6/2020","4/1/2020","Q2-2020","2020","40.0000000000","7488.00"
"Closed Lost","Website","Midwest","Softchoice Corporation","Microsoft Teams","Education","11/15/2022","11/1/2022","Q4-2022","2022","378.0000000000","18150.00"
"Closed Won","Customer Support","Northeast","Presidio Networked Solutions Group, LLC","Microsoft Teams","Technology","12/5/2022","12/1/2022","Q4-2022","2022","62.0000000000","6376.86"
"Closed Lost","Customer Support","Southeast","CDW Logistics, Inc.","Cisco","Government","2/28/2023","2/1/2023","Q1-2023","2023","144.0000000000","499.97"
"Closed Lost","Customer Support","Midwest","Sentinel Technologies, Inc.","Cisco","Healthcare","11/21/2022","11/1/2022","Q4-2022","2022","39.0000000000","1344.85"
"Closed Won","Customer Support","Gulf","General DataTech, L.P.","Cisco","Finance","6/24/2022","6/1/2022","Q2-2022","2022","37.0000000000","3106.68"
"Closed Won","Customer Support","Northeast","","Cisco","Transportation","8/18/2022","8/1/2022","Q3-2022","2022","3.0000000000","2200.00"
"Closed Lost","Channel Inbound","North Central","","Cisco; Cisco UCCX","Government","8/11/2021","8/1/2021","Q3-2021","2021","320.0000000000","11322.94"
"Closed Won","Channel Inbound","Northeast","ePlus Technology, Inc.","Cisco","Healthcare","3/26/2020","3/1/2020","Q1-2020","2020","223.0000000000","11396.00"
"Closed Lost","Channel Inbound","Southeast","TD Synnex","Cisco","Government","6/29/2020","6/1/2020","Q2-2020","2020","14.0000000000","5434.00"
"Closed Lost","Channel Inbound","","World Wide Technology, Inc.","Cisco","","1/24/2020","1/1/2020","Q1-2020","2020","109.0000000000","36800.00"
"Closed Lost","Channel Inbound","","Sirius Computer Solutions, Inc. - a CDW Company","Cisco","","6/4/2020","6/1/2020","Q2-2020","2020","261.0000000000","17600.00"
"Closed Lost","Website","Southeast","","Cisco; Cisco UCCE","Other","2/17/2022","2/1/2022","Q1-2022","2022","253.0000000000","29400.00"
"Closed Lost","Channel Inbound","Northeast","Presidio Networked Solutions Group, LLC","Cisco","Education","11/27/2019","11/1/2019","Q4-2019","2019","148.0000000000","2961.00"
"Closed Lost","Events/Shows","","","Cisco","","5/28/2020","5/1/2020","Q2-2020","2020","189.0000000000","21194.60"
"Closed Lost","Website","Southeast","Presidio Networked Solutions Group, LLC","Cisco","Retail","5/15/2020","5/1/2020","Q2-2020","2020","297.0000000000","7020.00"
"Closed Lost","Channel Inbound","Gulf","ConvergeOne, Inc.","Cisco","Other","8/18/2022","8/1/2022","Q3-2022","2022","15.0000000000","14730.00"
"Closed Won","Customer Support","North Central","","Cisco","Transportation","4/1/2022","4/1/2022","Q2-2022","2022","1.0000000000","750.00"
"Closed Lost","Channel Inbound","Northeast","Presidio Networked Solutions Group, LLC","Cisco","Technology","7/15/2020","7/1/2020","Q3-2020","2020","176.0000000000","6552.00"
"Closed Lost","Channel Inbound","","World Wide Technology, Inc.","Cisco","Other","1/27/2020","1/1/2020","Q1-2020","2020","238.0000000000","8361.00"
"Closed Won","Customer Support","Midwest","Intervision","Cisco","Finance","5/5/2022","5/1/2022","Q2-2022","2022","10.0000000000","2065.39"
"Closed Won","Customer Support","Gulf","World Wide Technology, Inc.","Cisco","Finance","12/29/2022","12/1/2022","Q4-2022","2022","148.0000000000","9496.34"
"Closed Won","Customer Support","Midwest","Advanced Network Management, Inc.","Cisco","Retail","6/7/2022","6/1/2022","Q2-2022","2022","29.0000000000","2151.00"
"Closed Lost","Channel Inbound","","Marco, Inc.","Cisco","","4/13/2020","4/1/2020","Q2-2020","2020","315.0000000000","31800.20"
"Closed Lost","Channel Inbound","North Central","ConvergeOne, Inc.","Cisco","Healthcare","10/24/2022","10/1/2022","Q4-2022","2022","256.0000000000","25290.00"
"Closed Won","Channel Inbound","Northeast","Presidio Networked Solutions Group, LLC","Cisco","Insurance","5/1/2020","5/1/2020","Q2-2020","2020","29.0000000000","6478.00"
"Closed Won","Customer Support","Midwest","","Cisco","Government","10/26/2022","10/1/2022","Q4-2022","2022","881.0000000000","11214.00"
"Closed Won","Direct Sales","Gulf","ConvergeOne, Inc.","Cisco","Healthcare","8/16/2022","8/1/2022","Q3-2022","2022","13.0000000000","4305.00"
"Closed Lost","Customer Support","Midwest","","Cisco","Other","11/9/2022","11/1/2022","Q4-2022","2022","98.0000000000","3600.00"
"Closed Lost","Channel Inbound","West","Logicalis, Inc.","Cisco","Education","8/11/2021","8/1/2021","Q3-2021","2021","462.0000000000","26730.00"
"Closed Won","Customer Support","Gulf","CDW Logistics, Inc.","Cisco","Finance","10/26/2022","10/1/2022","Q4-2022","2022","12.0000000000","2812.32"
"Closed Won","Customer Support","Midwest","","Cisco","Insurance","9/22/2022","9/1/2022","Q3-2022","2022","49.0000000000","1500.00"
"Closed Won","Customer Support","Gulf","","Microsoft Skype For Business; Microsoft Lync","Shipping","7/26/2022","7/1/2022","Q3-2022","2022","28.0000000000","189.00"
"Closed Won","Customer Support","Southeast","Black Box Network Services","Avaya; Nortel","Transportation","9/7/2022","9/1/2022","Q3-2022","2022","22.0000000000","402.00"
"Closed Lost","Channel Inbound","","CDW Logistics, Inc.","Cisco","","9/24/2019","9/1/2019","Q3-2019","2019","63.0000000000","5766.00"
"Closed Lost","Customer Support","Southeast","Insight Direct USA, Inc.","Cisco","Consulting","8/23/2022","8/1/2022","Q3-2022","2022","4.0000000000","3817.68"
"Closed Won","Customer Support","Gulf","Calian","Cisco; Cisco UCCX","Healthcare","6/10/2022","6/1/2022","Q2-2022","2022","23.0000000000","2740.00"
"Closed Lost","Customer Support","West","","Cisco","Education","11/17/2022","11/1/2022","Q4-2022","2022","141.0000000000","3019.68"
"Closed Lost","Channel Inbound","North Central","","Cisco","Energy","3/18/2022","3/1/2022","Q1-2022","2022","613.0000000000","23360.00"
"Closed Lost","Channel Inbound","Midwest","Presidio Networked Solutions Group, LLC","Cisco","Government","9/4/2019","9/1/2019","Q3-2019","2019","243.0000000000","6430.00"
"Closed Lost","Channel Inbound","North Central","ConvergeOne, Inc.","Cisco","Construction","6/7/2021","6/1/2021","Q2-2021","2021","313.0000000000","10255.30"
"Closed Lost","Channel Inbound","North Central","CompuNet Inc.","Cisco","Healthcare","4/20/2021","4/1/2021","Q2-2021","2021","161.0000000000","5182.80"
"Closed Lost","Customer Support","Southeast","Katalyst Network Group, LLC","Cisco","Finance","2/15/2023","2/1/2023","Q1-2023","2023","230.0000000000","2250.00"
"Closed Lost","Channel Inbound","","CDW Logistics, Inc.","Cisco","","5/29/2020","5/1/2020","Q2-2020","2020","23.0000000000","4294.00"
"Closed Lost","Channel Inbound","","Axispoint Technology Solutions Group, Inc.","Cisco","","11/21/2019","11/1/2019","Q4-2019","2019","392.0000000000","18782.40"
"Closed Lost","Events/Shows","","Presidio Networked Solutions Group, LLC","Cisco","","1/24/2020","1/1/2020","Q1-2020","2020","458.0000000000","30750.00"
"Closed Lost","Channel Inbound","Southeast","Presidio Networked Solutions Group, LLC","Cisco; Avaya","Retail","1/29/2020","1/1/2020","Q1-2020","2020","453.0000000000","467100.00"
"Closed Lost","Direct Sales","West","Logicalis, Inc.","Cisco","Other","6/10/2020","6/1/2020","Q2-2020","2020","589.0000000000","3173.00"
"Closed Lost","Channel Inbound","","NTT America, Inc.","Cisco","","1/24/2020","1/1/2020","Q1-2020","2020","192.0000000000","66960.00"
"Closed Lost","Channel Inbound","West","NTT America, Inc.","Cisco","Finance","1/22/2020","1/1/2020","Q1-2020","2020","436.0000000000","5712.00"
"Closed Lost","Channel Inbound","West","Cache Valley Electric Company","Cisco","Hospitality","10/17/2019","10/1/2019","Q4-2019","2019","226.0000000000","15925.00"
"Closed Lost","Website","Northeast","","Cisco; Avaya","Legal","8/1/2019","8/1/2019","Q3-2019","2019","92.0000000000","17810.00"
"Closed Lost","Marketing Campaign","Northeast","","Cisco","Technology","12/21/2020","12/1/2020","Q4-2020","2020","243.0000000000","9245.20"
"Closed Won","Channel Inbound","Gulf","Pivot Technology Services Corporation","Cisco","Government","9/26/2019","9/1/2019","Q3-2019","2019","133.0000000000","1905.00"
"Closed Lost","Marketing Campaign","Northeast","","Cisco","Biotechnology","6/2/2020","6/1/2020","Q2-2020","2020","41.0000000000","70901.40"
"Closed Lost","Channel Inbound","Southeast","CDW Logistics, Inc.","Cisco","Retail","8/14/2020","8/1/2020","Q3-2020","2020","519.0000000000","10182.00"
"Closed Won","Channel Inbound","Gulf","NWN Corporation","Cisco","Government","3/31/2020","3/1/2020","Q1-2020","2020","166.0000000000","40768.00"
"Closed Lost","Events/Shows","Northeast","","Cisco","Education","4/15/2020","4/1/2020","Q2-2020","2020","344.0000000000","36480.00"
"Closed Won","Channel Inbound","West","Advanced Network Management, Inc.","Cisco","Retail","11/21/2019","11/1/2019","Q4-2019","2019","191.0000000000","11300.00"
"Closed Won","Channel Inbound","Southeast","United Data Technologies, Inc.","Cisco","Finance","6/24/2020","6/1/2020","Q2-2020","2020","135.0000000000","32880.75"
"Closed Lost","Customer Support","Midwest","","Cisco","Government","3/6/2023","3/1/2023","Q1-2023","2023","152.0000000000","1262.69"
"Closed Lost","Customer Support","Southeast","","Cisco","Healthcare","10/20/2022","10/1/2022","Q4-2022","2022","76.0000000000","7200.00"
"Closed Lost","Customer Support","North Central","CDW Logistics, Inc.","Cisco; Cisco UCCX","Healthcare","8/24/2022","8/1/2022","Q3-2022","2022","6.0000000000","271.73"
"Closed Won","Customer Support","Midwest","","Cisco; Cisco UCCX","Not For Profit","7/11/2022","7/1/2022","Q3-2022","2022","52.0000000000","1800.18"
"Closed Lost","Customer Support","Midwest","","Avaya","Insurance","5/27/2022","5/1/2022","Q2-2022","2022","9.0000000000","4580.42"
"Closed Lost","Channel Inbound","North Central","Advanced Network Management, Inc.","Cisco","Transportation","9/9/2022","9/1/2022","Q3-2022","2022","114.0000000000","5433.00"
"Closed Lost","Customer Support","Gulf","Axxys Technologies, Inc.","Cisco","Retail","8/3/2022","8/1/2022","Q3-2022","2022","34.0000000000","8748.00"
"Closed Lost","Customer Support","Midwest","","Avaya","Healthcare","5/15/2023","5/1/2023","Q2-2023","2023","360.0000000000","6177.49"
"Closed Lost","Channel Inbound","Northeast","Carousel Industries of North America, Inc.","Cisco","Healthcare","1/30/2023","1/1/2023","Q1-2023","2023","637.0000000000","63432.00"
"Closed Lost","Channel Inbound","","Single Path, LLC","Cisco","","2/26/2020","2/1/2020","Q1-2020","2020","141.0000000000","8732.00"
"Closed Won","Channel Inbound","Gulf","ConvergeOne, Inc.","Cisco","Healthcare","4/24/2020","4/1/2020","Q2-2020","2020","10.0000000000","10069.92"
"Closed Lost","Channel Inbound","Northeast","ConvergeOne, Inc.","Cisco","Education","7/7/2020","7/1/2020","Q3-2020","2020","60.0000000000","19404.00"
"Closed Lost","Channel Inbound","","Sentinel Technologies, Inc.","Cisco","","10/8/2019","10/1/2019","Q4-2019","2019","74.0000000000","5352.00"
"Closed Lost","Channel Inbound","Gulf","Flair Data Systems","Cisco","Government","8/10/2020","8/1/2020","Q3-2020","2020","164.0000000000","3384.00"
"Closed Won","Website","Northeast","","Cisco","Education","9/17/2019","9/1/2019","Q3-2019","2019","77.0000000000","39930.00"
"Closed Won","Events/Shows","West","NTT America, Inc.","Cisco","Insurance","10/15/2019","10/1/2019","Q4-2019","2019","113.0000000000","11110.00"
"Closed Lost","Channel Inbound","Southeast","ConvergeOne, Inc.","Cisco; Avaya","Healthcare","10/21/2020","10/1/2020","Q4-2020","2020","401.0000000000","44160.00"
"Closed Lost","Website","","","Cisco","","1/23/2020","1/1/2020","Q1-2020","2020","233.0000000000","15870.00"
"Closed Lost","Website","North Central","","Cisco","Healthcare","8/30/2022","8/1/2022","Q3-2022","2022","161.0000000000","48200.00"
"Closed Lost","Direct Sales","Southeast","","Cisco","Retail","11/15/2022","11/1/2022","Q4-2022","2022","179.0000000000","937.02"
"Closed Lost","Channel Inbound","","Single Path, LLC","Cisco","","5/21/2020","5/1/2020","Q2-2020","2020","226.0000000000","17643.80"
"Closed Lost","Channel Inbound","Northeast","Axispoint Technology Solutions Group, Inc.","Cisco","Finance","11/30/2019","11/1/2019","Q4-2019","2019","191.0000000000","7404.00"
"Closed Lost","Channel Inbound","Northeast","Presidio Networked Solutions Group, LLC","Cisco","Healthcare","7/2/2020","7/1/2020","Q3-2020","2020","408.0000000000","17670.75"
"Closed Lost","Channel Inbound","Northeast","ConvergeOne, Inc.","Cisco","Healthcare","3/2/2020","3/1/2020","Q1-2020","2020","229.0000000000","16872.00"
"Closed Lost","Customer Support","Midwest","CDW Logistics, Inc.","Cisco; Microsoft Teams","Real Estate","4/18/2023","4/1/2023","Q2-2023","2023","333.0000000000","19808.84"
"Closed Lost","Channel Inbound","Northeast","PremierComm LLC","Cisco","Retail","10/28/2019","10/1/2019","Q4-2019","2019","210.0000000000","5376.20"
"Closed Lost","Channel Inbound","","Nex4 Company Ltd.","Cisco","","6/10/2020","6/1/2020","Q2-2020","2020","268.0000000000","1314.00"
"Closed Lost","Channel Inbound","","NWN Corporation","Cisco","","10/23/2019","10/1/2019","Q4-2019","2019","113.0000000000","14091.00"
"Closed Won","Website","Southeast","NTT America, Inc.","Cisco","Retail","3/15/2021","3/1/2021","Q1-2021","2021","203.0000000000","1260.00"
"Closed Lost","Channel Inbound","West","ConvergeOne, Inc.","Cisco","Finance","4/27/2021","4/1/2021","Q2-2021","2021","214.0000000000","9828.00"
"Closed Lost","Customer Support","Southeast","","Cisco","Food & Beverage","6/28/2019","6/1/2019","Q2-2019","2019","73.0000000000","1642.00"
"Closed Won","Website","Northeast","","Cisco","Healthcare","2/21/2019","2/1/2019","Q1-2019","2019","170.0000000000","19900.00"
"Closed Lost","Channel Inbound","","AT&T Services, Inc.","Cisco; NEC; Nortel; Siemens","","7/15/2020","7/1/2020","Q3-2020","2020","338.0000000000","211000.00"
"Closed Lost","Website","Midwest","CDW Logistics, Inc.","Cisco","Technology","1/21/2020","1/1/2020","Q1-2020","2020","356.0000000000","8617.90"
"Closed Lost","Channel Inbound","North Central","CDW Logistics, Inc.","Cisco; Cisco UCCX","Government","8/11/2021","8/1/2021","Q3-2021","2021","320.0000000000","6458.40"
"Closed Lost","Customer Support","Gulf","Meriplex Communications, Ltd.","Cisco","Manufacturing","12/3/2019","12/1/2019","Q4-2019","2019","365.0000000000","4104.00"
"Closed Lost","Traditional/Offline Networking","","Advanced Network Management, Inc.","Cisco","","6/28/2019","6/1/2019","Q2-2019","2019","339.0000000000","17760.00"
"Closed Won","Traditional/Offline Networking","Midwest","Network Solutions, Inc.","Cisco","Retail","12/18/2018","12/1/2018","Q4-2018","2018","141.0000000000","7776.00"
"Closed Lost","Channel Inbound","North Central","Marco, Inc.","Cisco","Government","2/11/2020","2/1/2020","Q1-2020","2020","228.0000000000","11908.00"
"Closed Won","Channel Inbound","Southeast","Presidio Networked Solutions Group, LLC","Cisco","Retail","7/31/2020","7/1/2020","Q3-2020","2020","744.0000000000","7020.00"
"Closed Lost","Website","West","NextNet Partners, LLC","Cisco","Healthcare","1/30/2019","1/1/2019","Q1-2019","2019","196.0000000000","57744.00"
"Closed Won","Events/Shows","Northeast","Presidio Networked Solutions Group, LLC","Cisco","Entertainment","8/21/2018","8/1/2018","Q3-2018","2018","34.0000000000","21060.00"
"Closed Won","Channel Inbound","Midwest","Sirius Computer Solutions, Inc. - a CDW Company","Cisco","Not For Profit","10/11/2019","10/1/2019","Q4-2019","2019","445.0000000000","7764.50"
"Closed Lost","Channel Inbound","Northeast","Computer Design & Integration LLC","Cisco","Finance","11/21/2019","11/1/2019","Q4-2019","2019","105.0000000000","6591.00"
"Closed Lost","Customer Support","","Black Box Network Services","Cisco","","3/21/2019","3/1/2019","Q1-2019","2019","230.0000000000","5356.00"
"Closed Lost","Channel Inbound","North Central","Presidio Networked Solutions Group, LLC","Cisco","Government","9/4/2019","9/1/2019","Q3-2019","2019","99.0000000000","10244.00"
"Closed Lost","Channel Inbound","West","","Cisco; Cisco UCCX; Cisco UCCE","Utilities","4/14/2021","4/1/2021","Q2-2021","2021","13.0000000000","14952.00"
"Closed Lost","Channel Inbound","Gulf","Presidio Networked Solutions Group, LLC","Cisco; Cisco UCCX; Microsoft Teams; Amazon Connect","Insurance","2/18/2021","2/1/2021","Q1-2021","2021","106.0000000000","33243.00"
"Closed Lost","Channel Inbound","","Hawaiian Telcom Communications, Inc.","Cisco","","8/30/2019","8/1/2019","Q3-2019","2019","211.0000000000","8495.00"
"Closed Lost","Channel Inbound","","Sentinel Technologies, Inc.","Cisco","","9/4/2020","9/1/2020","Q3-2020","2020","520.0000000000","6392.25"
"Closed Lost","Channel Inbound","Northeast","Sakon","Cisco","Healthcare","9/2/2020","9/1/2020","Q3-2020","2020","182.0000000000","1005480.00"
"Closed Won","Customer Support","Northeast","Derive Technologies, LLC","Cisco","Healthcare","2/12/2019","2/1/2019","Q1-2019","2019","32.0000000000","6393.00"
"Closed Lost","Customer Support","Northeast","","Cisco","Education","1/17/2023","1/1/2023","Q1-2023","2023","330.0000000000","2500.00"
"Closed Lost","Channel Inbound","Gulf","CDW Logistics, Inc.","Cisco","Education","1/2/2020","1/1/2020","Q1-2020","2020","135.0000000000","51106.00"
"Closed Lost","Channel Inbound","Midwest","ConvergeOne, Inc.","Cisco","Consulting","5/20/2021","5/1/2021","Q2-2021","2021","573.0000000000","31037.80"
"Closed Lost","Channel Inbound","","Sentinel Technologies, Inc.","Cisco","","3/12/2020","3/1/2020","Q1-2020","2020","205.0000000000","26660.00"
"Closed Lost","Channel Inbound","","Business Communications, Inc.","Cisco","","4/17/2020","4/1/2020","Q2-2020","2020","197.0000000000","15234.00"
"Closed Lost","Channel Inbound","","Internetwork Engineering","Cisco","","2/24/2020","2/1/2020","Q1-2020","2020","342.0000000000","22800.00"
"Closed Lost","Customer Support","Midwest","","Cisco; Cisco UCCX","Healthcare","4/24/2023","4/1/2023","Q2-2023","2023","158.0000000000","191.18"
"Closed Lost","Channel Inbound","West","Sentinel Technologies, Inc.","Cisco; Cisco UCCX; Cisco UCCE","Healthcare","5/17/2021","5/1/2021","Q2-2021","2021","102.0000000000","12323.60"
"Closed Won","Customer Support","Gulf","AT&T Services, Inc.","Cisco","Healthcare","1/19/2023","1/1/2023","Q1-2023","2023","85.0000000000","1753.50"
"Closed Won","Customer Support","West","","Avaya","Hospitality","11/30/2022","11/1/2022","Q4-2022","2022","29.0000000000","6915.60"
"Closed Lost","Customer Support","Gulf","Presidio Networked Solutions Group, LLC","Cisco; Cisco UCCX","Real Estate","4/12/2023","4/1/2023","Q2-2023","2023","148.0000000000","8390.40"
"Closed Lost","Channel Inbound","Gulf","Presidio Networked Solutions Group, LLC","Cisco; Cisco UCCX","Utilities","2/1/2021","2/1/2021","Q1-2021","2021","151.0000000000","6597.90"
"Closed Lost","Direct Sales","North Central","","Cisco","Manufacturing","1/12/2023","1/1/2023","Q1-2023","2023","856.0000000000","8760.00"
"Closed Lost","Affiliate/Partner Programs","","Netsync Network Solutions, Inc.","Cisco","","6/27/2019","6/1/2019","Q2-2019","2019","55.0000000000","21010.00"
"Closed Lost","Channel Inbound","","ConvergeOne, Inc.","Cisco","","5/27/2021","5/1/2021","Q2-2021","2021","555.0000000000","19030.00"
"Closed Lost","Customer Support","","","Cisco","","5/12/2022","5/1/2022","Q2-2022","2022","745.0000000000","33000.00"
"Closed Lost","Channel Inbound","Northeast","Presidio Networked Solutions Group, LLC","Cisco","Healthcare","9/23/2019","9/1/2019","Q3-2019","2019","209.0000000000","3283.00"
"Closed Lost","Channel Inbound","West","Development Group, Inc.","Cisco","Government","5/8/2020","5/1/2020","Q2-2020","2020","66.0000000000","16631.00"
"Closed Lost","Customer Support","","AT&T Services, Inc.","Cisco; Microsoft Teams","Technology","2/15/2023","2/1/2023","Q1-2023","2023","112.0000000000","12395.40"
"Closed Lost","Traditional/Offline Networking","","Technology Group Solutions, LLC","Cisco","","2/24/2019","2/1/2019","Q1-2019","2019","74.0000000000","12996.00"
"Closed Lost","Marketing Campaign","","","Cisco","","6/2/2020","6/1/2020","Q2-2020","2020","36.0000000000","9155.15"
"Closed Won","Website - Collateral","Northeast","PremierComm LLC","Cisco","Healthcare","6/6/2019","6/1/2019","Q2-2019","2019","98.0000000000","15290.20"
"Closed Lost","Channel Inbound","Northeast","TeleSpace, LLC","Cisco","Legal","9/6/2022","9/1/2022","Q3-2022","2022","63.0000000000","3072.00"
"Closed Lost","Customer Support","Southeast","NTT America, Inc.","Cisco","Retail","3/17/2023","3/1/2023","Q1-2023","2023","130.0000000000","2105.58"
"Closed Lost","Customer Support","West","","Cisco","Finance","12/20/2022","12/1/2022","Q4-2022","2022","201.0000000000","8455.32"
